1;2;Ariel;tt0094675;fi;10726;73;6.3;113;1867;FI;de;450717150;85000000;7;Drama
2;3;Shadows in Paradise;tt0092149;fi;9215;72;6.7;118;1697;FI;fi;95708457;22000000;5;Crime
3;5;Four Rooms;tt0113101;en;16877;98;6.7;1753;258;US;en;124731534;40000000;4;Comedy
4;6;Judgment Night;tt0107286;en;9514;110;6.8;163;1555;JP;fi;895921036;150000000;7;Drama
5;9;Sunday in August;tt0425473;de;2251;15;7.4;7;1844;US;sv;976475550;125000000;4;Comedy
6;11;Star Wars;tt0076759;en;57094;121;6.5;14416;1886;DE;en;62771059;40000000;5;Crime
7;12;Finding Nemo;tt0266543;en;42096;100;7.7;14096;462;US;en;789804554;130000000;4;Comedy
8;13;Forrest Gump;tt0109830;en;46200;142;6.1;19013;1892;US;de;544272402;125000000;1;Action
9;14;American Beauty;tt0169547;en;27808;122;6.3;8487;209;US;en;933959197;250000000;17;Thriller
10;15;Citizen Kane;tt0033467;en;21007;119;7.4;3322;1781;US;en;1004558444;185000000;5;Crime
11;16;Dancer in the Dark;tt0168629;en;17027;141;4.3;1081;293;US;en;484409218;60000000;7;Drama
12;17;The Dark;tt0411267;en;8127;87;5.4;177;1855;AR;en;527068851;75000000;2;Adventure
13;18;The Fifth Element;tt0119116;en;35815;126;8.9;7639;596;DK;en;928760770;150000000;1;Action
14;19;Metropolis;tt0017136;de;17498;149;8.9;1598;187;FI;en;67200000;20000000;15;Science Fiction
15;20;My Life Without Me;tt0314412;en;14769;106;6.2;272;1630;FR;cy;0;0;3;Animation
16;21;The Endless Summer;tt0060371;en;6426;91;8.2;60;257;DE;en;381109762;19000000;8;Family
17;22;Pirates of the Caribbean: The Curse of the Black Pearl;tt0325980;en;56942;143;8.5;15060;35;IS;en;99965753;24000000;4;Comedy
44;77;Memento;tt0209144;en;24402;113;6.2;10079;60;US;en;25504513;1800000;18;War
45;78;Blade Runner;tt0083658;en;28229;117;8.2;9632;447;US;en;745013115;180000000;7;Drama
46;79;Hero;tt0299977;zh;43852;99;8.5;1413;621;CA;es;562363449;207000000;7;Drama
47;80;Before Sunset;tt0381681;en;9914;80;9.6;2048;910;DE;en;163712074;150000000;12;Music
48;81;Nausica? of the Valley of the Wind;tt0087544;ja;31107;117;8.6;2094;1545;GB;tr;520000000;102000000;14;Romance
49;82;Miami Vice;tt0430357;en;16327;132;8.4;1098;236;US;el;738599701;150000000;7;Drama
50;83;Open Water;tt0374102;en;13284;79;7.7;717;2055;US;zh;245066411;6000000;18;War
51;85;Raiders of the Lost Ark;tt0082971;en;28185;115;4.1;8405;1369;ES;en;19629760;15000000;3;Animation
52;86;The Elementary Particles;tt0430051;de;8042;105;5.6;84;1099;US;en;300473716;31000000;15;Science Fiction
53;87;Indiana Jones and the Temple of Doom;tt0087469;en;22436;118;6.5;6165;943;US;ru;28341469;25000000;19;Western
54;88;Dirty Dancing;tt0092890;en;24466;100;7.7;4206;1184;PS;en;677387716;55000000;3;Animation
55;89;Indiana Jones and the Last Crusade;tt0097576;en;32362;127;7.4;6760;627;FR;fr;481840909;70000000;4;Comedy
56;90;Beverly Hills Cop;tt0086960;en;19584;105;8.6;2494;179;DE;es;497366869;90000000;8;Family
57;91;Land Without Bread;tt0023037;es;6137;29;8.7;88;1808;IL;en;798958165;160000000;15;Science Fiction
58;92;Megacities;tt0169024;en;3725;94;7.4;7;39;NL;es;97607453;50000000;7;Drama
59;93;Anatomy of a Murder;tt0052561;en;10284;161;5.4;504;1470;GB;en;300400432;44000000;14;Romance
60;94;Kunstgriff;tt0436488;en;5840;6;4.5;1;1427;US;ar;611899420;30000000;7;Drama
61;95;Armageddon;tt0120591;en;31786;151;6.3;5487;1330;DE;en;45284974;16000000;17;Thriller
62;96;Beverly Hills Cop II;tt0092644;en;12551;103;4.2;1445;25;US;en;940335536;94000000;2;Adventure
63;97;Tron;tt0084827;en;14578;96;8.2;1403;144;US;en;589390539;90000000;9;Fantasy
